stock_id,stock_name,public_class,class,yahoo_stock_id
1101,台泥,上市,水泥工業,1101.TW
1102,亞泥,上市,水泥工業,1102.TW
1103,嘉泥,上市,水泥工業,1103.TW
1104,環泥,上市,水泥工業,1104.TW
1108,幸福,上市,水泥工業,1108.TW
1109,信大,上市,水泥工業,1109.TW
1110,東泥,上市,水泥工業,1110.TW
1201,味全,上市,食品工業,1201.TW
1203,味王,上市,食品工業,1203.TW
1210,大成,上市,食品工業,1210.TW
1213,大飲,上市,食品工業,1213.TW
1215,卜蜂,上市,食品工業,1215.TW
1216,統一,上市,食品工業,1216.TW
1217,愛之味,上市,食品工業,1217.TW
1218,泰山,上市,食品工業,1218.TW
1219,福壽,上市,食品工業,1219.TW
1220,台榮,上市,食品工業,1220.TW
1225,福懋油,上市,食品工業,1225.TW
1227,佳格,上市,食品工業,1227.TW
1229,聯華,上市,食品工業,1229.TW
1231,聯華食,上市,食品工業,1231.TW
1232,大統益,上市,食品工業,1232.TW
1233,天仁,上市,食品工業,1233.TW
1234,黑松,上市,食品工業,1234.TW
1235,興泰,上市,食品工業,1235.TW
1236,宏亞,上市,食品工業,1236.TW
1240,茂生農經,上櫃,農業科技業,1240.TWO
1256,鮮活果汁-KY,上市,食品工業,1256.TW
1258,其祥-KY,上櫃,食品工業,1258.TWO
1259,安心,上櫃,觀光事業,1259.TWO
1264,德麥,上櫃,食品工業,1264.TWO
1268,漢來美食,上櫃,觀光事業,1268.TWO
1301,台塑,上市,塑膠工業,1301.TW
1303,南亞,上市,塑膠工業,1303.TW
1304,台聚,上市,塑膠工業,1304.TW
1305,華夏,上市,塑膠工業,1305.TW
1307,三芳,上市,塑膠工業,1307.TW
1308,亞聚,上市,塑膠工業,1308.TW
1309,台達化,上市,塑膠工業,1309.TW
1310,台苯,上市,塑膠工業,1310.TW
1312,國喬,上市,塑膠工業,1312.TW
1313,聯成,上市,塑膠工業,1313.TW
1314,中石化,上市,塑膠工業,1314.TW
1315,達新,上市,塑膠工業,1315.TW
1316,上曜,上市,建材營造業,1316.TW
1319,東陽,上市,汽車工業,1319.TW
1321,大洋,上市,塑膠工業,1321.TW
1323,永裕,上市,塑膠工業,1323.TW
1324,地球,上市,塑膠工業,1324.TW
1325,恆大,上市,塑膠工業,1325.TW
1326,台化,上市,塑膠工業,1326.TW
1336,台翰,上櫃,電子零組件業,1336.TWO
1337,再生-KY,上市,塑膠工業,1337.TW
1338,廣華-KY,上市,汽車工業,1338.TW
1339,昭輝,上市,汽車工業,1339.TW
1340,勝悅-KY,上市,塑膠工業,1340.TW
1341,富林-KY,上市,塑膠工業,1341.TW
1342,八貫,上市,其他業,1342.TW
1402,遠東新,上市,紡織纖維,1402.TW
1409,新纖,上市,紡織纖維,1409.TW
1410,南染,上市,紡織纖維,1410.TW
1413,宏洲,上市,紡織纖維,1413.TW
1414,東和,上市,紡織纖維,1414.TW
1416,廣豐,上市,其他業,1416.TW
1417,嘉裕,上市,紡織纖維,1417.TW
1418,東華,上市,紡織纖維,1418.TW
1419,新紡,上市,紡織纖維,1419.TW
1423,利華,上市,紡織纖維,1423.TW
1432,大魯閣,上市,貿易百貨業,1432.TW
1434,福懋,上市,紡織纖維,1434.TW
1435,中福,上市,其他業,1435.TW
